,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
46,Commission Opinion of 20 February 2001 concerning the plan for the disposal of radioactive waste from the dismantling of the Würgassen nuclear power plant located in North-Rhine Westphalia in the Federal Republic of Germany,,32001A0306(01),,,,,Opinion,"North Rhine-Westphalia, decommissioning of power stations, health legislation, waste management, radioactive effluent, public health",,"Health and safety, Nuclear common market, Public health","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2001-02-20,2001-03-06,European Commission,2001-02-20,No end date,,,,True,"OJ C 72, 06/03/2001, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
47,"Commission opinion of 20 December 2000 concerning the plan for the disposal of radioactive waste from the commissioning of the liquid metal disposal plant (LMDP) and the waste receipt, assay, characterisation and supercompaction facility (WRACS) located on the Dounreay nuclear site in Scotland (United Kingdom), in accordance with Article 37 of the Euratom Treaty",,32001Y0123(02),,,,,Opinion,"frontier region, nuclear safety, United Kingdom, radioactive effluent, project evaluation, public health",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-12-20,2001-01-23,European Commission,2000-12-20,No end date,,,,True,"OJ C 20, 23/01/2001, p. 4–4
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
48,"Commission opinion of 15 December 2000 concerning the plan for the disposal of radioactive waste from the partial dismantling of the Monts d'Arrée nuclear power station in France, in accordance with Article 37 of the Euratom Treaty",,32001Y0113(01),,,,,Opinion,"France, nuclear power station, radioactive pollution, radioactive waste, health risk, decommissioning of power stations",,"Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-12-15,2001-01-13,European Commission,2000-12-15,No end date,,,,True,"OJ C 11, 13/01/2001, p. 5–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
49,"Commission opinion of 5 October 2000 concerning the plan for the disposal of radioactive waste from the 'Centre de la Manche' radioactive waste storage facility located in the region of Lower Normandy (France), in accordance with Article 37 of the Euratom Treaty",,32000Y1019(01),,,,,Opinion,"radioactive effluent, environmental standard, transfrontier pollution, Lower Normandy, storage of waste, frontier region",,"Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-10-05,2000-10-19,European Commission,2000-10-05,No end date,,,,True,"OJ C 297, 19/10/2000, p. 7–7
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
50,"Commission opinion of 24 July 2000 concerning the plan for the disposal of radioactive waste from the Karlsruhe Research Centre (FzK) in Baden-Württemberg in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty",,32000Y0804(02),,,,,Opinion,"Baden-Württemberg, radioactive effluent, nuclear reactor, health risk, radiation protection, decommissioning of power stations",,"Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-07-24,2000-08-04,European Commission,2000-07-24,No end date,,,,True,"OJ C 223, 04/08/2000, p. 3–3
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
51,Commission opinion of 24 July 2000 concerning the plan for the disposal of radioactive waste from the decommissioning and dismantling of the Braunschweig Research and Measuring Reactor (FMRB) located in Lower-Saxony in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty,,32000Y0804(01),,,,,Opinion,"nuclear reactor, radioactive effluent, health risk, Lower Saxony, decommissioning of power stations, radiation protection",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-07-24,2000-08-04,European Commission,2000-07-24,No end date,,,,True,"OJ C 223, 04/08/2000, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
52,Commission opinion of 22 June 2000 concerning the plan for the decommissioning and deferment period of the Dodewaard Nuclear Power Plant located in the Netherlands in accordance with Article 37 of the Euratom Treaty,,32000Y0705(01),,,,,Opinion,"nuclear power station, public health, decommissioning of power stations, radiation protection, Netherlands, health risk",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-06-22,2000-07-05,European Commission,2000-06-22,No end date,,,,True,"OJ C 186, 05/07/2000, p. 5–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
53,Commission opinion of 26 January 2000 concerning the plan for the disposal of radioactive waste from the decommissioning of the RWE-Bayernwerk Block A (KRB A) Nuclear Power Station in Gundremmingen located in Bavaria in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty,,32000Y0209(01),,,,,Opinion,"nuclear safety, environmental protection, public health, radioactive effluent, Bavaria, nuclear power station",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2000-01-26,2000-02-09,European Commission,2000-01-26,No end date,,,,True,"OJ C 37, 09/02/2000, p. 9–9
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
54,Commission Opinion of 10 November 1999 concerning the plan for the disposal of radioactive waste from the decommissioning of the Kahl Experimental Nuclear Power Station located in Bavaria in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty,,31999Y1126(02),,,,,Opinion,"radiation protection, decommissioning of power stations, public health, Bavaria, radioactive effluent",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1999-11-10,1999-11-26,European Commission,1999-11-19,No end date,,,,True,"OJ C 339, 26/11/1999, p. 6–6
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
55,Commission opinion of 27 July 1999 concerning the plan for the disposal of radioactive waste from the operation of the Gorleben pilot conditioning plant (PKA) located in Lower Saxony in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty (Only the German text is authentic),,31999Y0806(01),,,,,Opinion,"Lower Saxony, nuclear safety, nuclear power station, radioactive pollution, radioactive effluent, public health",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1999-07-27,1999-08-06,European Commission,1999-07-27,No end date,,,,True,"OJ C 224, 06/08/1999, p. 5–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
56,Commission opinion of 12 March 1999 concerning the plan for the disposal of radioactive waste from the decommissioning and dismantling of the Greifswald Nuclear Power Plant located in Mecklenburg-Vorpommern in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty (Only the German text is authentic),,31999Y0409(02),,,,,Opinion,"nuclear power station, radioactive effluent, Mecklenburg-Western Pomerania, environmental protection, public health",,"Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1999-03-12,1999-04-09,European Commission,1999-03-12,No end date,,,,True,"OJ C 97, 09/04/1999, p. 10–10
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
57,Commission opinion of 12 March 1999 concerning the plan for the disposal of radioactive waste from the operation of the Interim Storage North located in Mecklenburg- Vorpommern in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty (Only the German text is authentic),,31999Y0409(01),,,,,Opinion,"radioactive effluent, Mecklenburg-Western Pomerania, environmental protection, public health, storage",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1999-03-12,1999-04-09,European Commission,1999-03-12,No end date,,,,True,"OJ C 97, 09/04/1999, p. 9–9
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
58,Commission opinion of 18 March 1999 concerning the plan for the disposal of radioactive waste from the decommissioning and dismantling of the Rheinsberg Nuclear Power Plant located in the Land Brandenburg in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty (Only the German text is authentic),,31999Y0409(03),,,,,Opinion,"Brandenburg, public health, environmental protection, nuclear power station, radioactive effluent",,"Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1999-03-18,1999-04-09,European Commission,1999-03-18,No end date,,,,True,"OJ C 97, 09/04/1999, p. 11–11
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
59,"Opinion of the Commission of 1 December 1997 concerning the plan for the disposal of radioactive waste in the final repository for low and intermediate level radioactive waste at Loviisa, Finland, in accordance with Article 37 of the Euratom Treaty",,31997Y1219(01),,,,,Opinion,"storage of waste, cessation of trading, Finland, environmental monitoring, nuclear power station, radioactive waste",,"Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1997-12-01,1997-12-19,European Commission,1997-12-01,No end date,,,,True,"OJ C 385, 19/12/1997, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
60,"Commission Opinion of 10 September 1997 concerning the plan for the disposal of radioactive waste, from the operation of the Sellafield Solvent Treatment Plant of British Nuclear Fuels plc, Sellafield, Cumbria, United Kingdom, in accordance with Article 37 of the Euratom Treaty",,31997Y0925(02),,,,,Opinion,"health risk, United Kingdom, chemical industry, solvent, radioactive effluent",,"Safety at work and elsewhere, Nuclear common market, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1997-09-10,1997-09-25,European Commission,1997-09-25,No end date,,,,True,"OJ C 291, 25/09/1997, p. 9–9
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
61,Commission Opinion of 10 September 1997 concerning the plan for the disposal of radioactive waste from the Centraco nuclear treatment and conditioning plant (France) in accordance with Article 37 of the Euratom Treaty,,31997Y0925(01),,,,,Opinion,"health risk, fuel reprocessing, radioactive effluent, France, nuclear industry",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1997-09-10,1997-09-25,European Commission,1997-09-25,No end date,,,,True,"OJ C 291, 25/09/1997, p. 8–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
62,"96/171/Euratom: Commission Opinion of 12 January 1996 concerning the plan for the disposal of radioactive waste from the decommissioning of the Windscale advanced gas-cooled reactor located at the UKAEA Windscale site, Cumbria, United Kingdom in accordance with Article 37 of the Euratom Treaty (Only the English text is authentic)",,31996A0171,,,,http://data.europa.eu/eli/opin/1996/171/oj,Opinion,"EC opinion, United Kingdom, nuclear safety, nuclear reactor, radioactive waste, radioactive pollution",,"Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1996-01-12,1996-02-27,European Commission,1996-01-22,No end date,,,,True,"OJ L 48, 27/02/1996, p. 13–13
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
63,95/172/Euratom: Opinion of the Commission of 2 May 1995 concerning the plan for the disposal of radioactive waste from the 'TU5' Basic Nuclear Facility at Pierrelatte (France) in accordance with Article 37 of the Euratom Treaty (Only the French text is authentic),,31995A0172,,,,http://data.europa.eu/eli/opin/1995/172/oj,Opinion,"transfrontier pollution, radioactive effluent, nuclear power station, radioactive pollution, Rhône-Alpes, storage of waste",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1995-05-02,1995-05-20,European Commission,1995-05-11,No end date,,,,True,"OJ L 114, 20/05/1995, p. 28–28
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",,
64,94/833/Euratom: Opinion of the Commission of 14 December 1994 concerning the plan for the disposal of radioactive waste from the Chooz B nuclear power station (France) in accordance with Article 37 of the Euratom Treaty (Only the French text is authentic),,31994A0833,,,,http://data.europa.eu/eli/opin/1994/833/oj,Opinion,"waste disposal, health risk, frontier region, radioactive waste, France, nuclear power station",,"Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1994-12-14,1994-12-31,European Commission,1994-12-21,No end date,,,,True,"OJ L 352, 31/12/1994, p. 6–7
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
65,94/747/Euratom: Commission Opinion of 7 November 1994 concerning the plan for the disposal of radioactive waste from the Konrad radioactive waste repository at Salzgitter (Germany) in accordance with Article 37 of the Euratom Treaty (Only the German text is authentic),,31994A0747,,,,http://data.europa.eu/eli/opin/1994/747/oj,Opinion,"Germany, storage of waste, EC opinion, EAEC Treaty, radioactive effluent, transfrontier pollution",,"Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1994-11-07,1994-11-18,European Commission,1994-11-16,No end date,,,,True,"OJ L 297, 18/11/1994, p. 39–39
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
66,94/174/Euratom: Commission Opinion of 7 March 1994 concerning the plan for the disposal of radioactive waste from the Melox nuclear fuel fabrication plant at the Marcoule nuclear establishment (France) in accordance with Article 37 of the Euratom Treaty (Only the French text is authentic),,31994A0174,,,,http://data.europa.eu/eli/opin/1994/174/oj,Opinion,"storage of waste, nuclear safety, radioactive effluent, nuclear power station, Languedoc-Roussillon, nuclear fuel",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1994-03-07,1994-03-24,European Commission,1994-03-10,No end date,,,,True,"OJ L 80, 24/03/1994, p. 24–24
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
67,92/537/Euratom: Commission Opinion of 9 November 1992 concerning the plan for the disposal of radioactive waste from the Sizewell B Nuclear Power Station (United Kingdom) in accordance with Article 37 of the Euratom Treaty (Only the English text is authentic),,31992A0537,,,,http://data.europa.eu/eli/opin/1992/537/oj,Opinion,"United Kingdom, EC opinion, storage of waste, radioactive effluent, radioactive pollution, nuclear power station",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1992-11-09,1992-11-26,European Commission,1992-11-12,No end date,,,,True,"OJ L 344, 26/11/1992, p. 40–40
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
68,92/254/Euratom: Commission Opinion of 14 April 1992 concerning the plan for the disposal of radioactive waste of the 'Quercus' uranium ore processing plant of Enusa in Saelices el Chico (Spain) in accordance with Article 37 of the Euratom Treaty,,31992A0254,,,,http://data.europa.eu/eli/opin/1992/254/oj,Opinion,"Castile-Leon, impact study, uranium, radioactive pollution, radioactive waste",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1992-04-14,1992-05-14,European Commission,1992-04-14,No end date,,,,True,"OJ L 128, 14/05/1992, p. 26–26
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
69,"92/236/Euratom: Commission Opinion of 1 April 1992 concerning the plan to release radioactive effluents from the Covra NV radioactive waste processing and storage facility at Sloe (Netherlands), pursuant to Article 37 of the Euratom Treaty",,31992A0236,,,,http://data.europa.eu/eli/opin/1992/236/oj,Opinion,"Netherlands, industrial waste, radioactive effluent, Belgium, radioactive pollution",,"Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1992-04-01,1992-05-06,European Commission,1992-04-06,No end date,,,,True,"OJ L 121, 06/05/1992, p. 44–44
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
70,"89/476/Euratom: Commission Opinion of 20 July 1989 concerning the Penly nuclear power station, Units 1 and 2 (France) (Only the French text is authentic)",,31989A0476,,,,http://data.europa.eu/eli/opin/1989/476/oj,Opinion,"nuclear power station, France, radioactive effluent",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1989-07-20,1989-08-10,European Commission,1989-07-26,No end date,,,,True,"OJ L 233, 10/08/1989, p. 37–37
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
71,"89/354/Euratom: Commission Opinion of 23 May 1989 concerning the Golfech, units 1 and 2 (France) nuclear power station (Only the French text is authentic)",,31989A0354,,,,http://data.europa.eu/eli/opin/1989/354/oj,Opinion,"nuclear power station, France, radioactive effluent",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1989-05-23,1989-06-02,European Commission,1989-05-25,No end date,,,,True,"OJ L 150, 02/06/1989, p. 25–25
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
72,89/82/Euratom: Commission Opinion of 16 December 1988 concerning the nuclear power-station Trillo I (Spain) (Only the Spanish text is authentic),,31989A0082,,,,http://data.europa.eu/eli/opin/1989/82/oj,Opinion,"radioactive effluent, nuclear power station, Spain",,"Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1988-12-16,1989-02-03,European Commission,1988-12-21,No end date,,,,True,"OJ L 32, 03/02/1989, p. 28–28
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",,
0,"Rules of the Supply Agency of the European Atomic Energy Community determining the manner in which demand is to be balanced against the supply of ores, source materials and special fissile materials",C/2021/2893,32021Q0618(02),,,,http://data.europa.eu/eli/proc_rules/2021/618/oj,Rules of procedure,"nuclear fuel, operation of the Institutions, supply and demand, nuclear safety, radioactive materials, rules of procedure, mining product",,"Supply agency, Provisions governing the Institutions, Nuclear common market","Energy, General, financial and institutional matters, Nuclear energy, Provisions governing the institutions, Fuel supplies",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A055, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008D0114, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A052, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006R0066",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2021-06-18,2021-06-18,Euratom Supply Agency,2021-07-01,No end date,,,,True,"OJ L 218, 18/06/2021, p. 58–64
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
0,"Protocol on Claims, Legal Proceedings and Indemnification to the Framework Agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation",,22003A0624(02),,,,http://data.europa.eu/eli/prot/2003/462/oj,Protocol to the agreement,"claim, framework agreement, indemnification, nuclear safety, multilateral agreement, nuclear policy, Russia, nuclear accident, protocol to an agreement, judicial proceedings",,"External relations, Environment, Nuclear common market","Energy, Environment, consumers and health protection, External relations, Nuclear energy, Environment, Bilateral agreements with non-member countries, Other measures relating to nuclear energy, International cooperation, European countries, Other European countries",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E300, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E181A",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE",2003-05-21,"2007-06-05, 2006-12-08, 2003-06-24, 2004-05-01, 2014-10-14, 2007-01-01","European Community, Denmark, Netherlands, Finland, Russia, Norway, Germany, Sweden, Belgium, France, United Kingdom, European Atomic Energy Community, United States","2003-05-21, 2007-07-26",No end date,,,,True,"OJ L 343, 08/12/2006, p. 92–95
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
1,Final Act of the Conference on the European Energy Charter - Annex 3: Energy Charter Protocol on energy efficiency and related environmental aspects,,21994A1231(53),,,,http://data.europa.eu/eli/prot/1998/181/oj,Protocol to the agreement,"European charter, environmental policy, accession to an agreement, EAEC, energy policy, ECSC",,"Freedom of establishment, Commercial policy, Taxation, Internal market - Principles, Environment, Provisions under Article 235 EEC, External relations, Energy","Energy, General principles and programmes, General",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E100A, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E113, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E057, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E235, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11951K095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E073C, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E099, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E087, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E130S, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E066, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E228",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE",1994-12-17,"1994-12-31, 1995-01-01, 2004-05-01, 2012-09-14, 2007-01-01","Lithuania, Portugal, Slovakia, Moldova, Kazakhstan, Sweden, Belgium, France, Cyprus, Ireland, Czechia, European Atomic Energy Community, United Kingdom, Malta, United States, Ukraine, Mongolia, Luxembourg, Georgia, Turkmenistan, Tajikistan, Bulgaria, Croatia, Latvia, Slovenia, Spain, Estonia, North Macedonia, Azerbaijan, European Coal and Steel Community, Greece, Italy, Türkiye, Armenia, Hungary, Australia, Kyrgyzstan, European Community, Romania, Denmark, Liechtenstein, Poland, Germany, Switzerland, Netherlands, Finland, Albania, Austria",1998-04-16,No end date,,,,True,"OJ L 380, 31/12/1994, p. 91–112
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT), This document has been published in a special edition(s) (
           		FI, SV, CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
2,"Protocol of Agreement on coking coal and coke for the iron and steel industry, reached between the Governments of the Member States of the European Communities at the 107th meeting of the Special Council of Ministers of the ECSC on 16 February 1967 in Luxembourg",/* Unofficial translation */,41967A0228(01),,,,http://data.europa.eu/eli/prot/1967/228/oj,Protocol to the agreement,"aid system, price reduction, coke, iron and steel industry, protocol to an agreement, coal",,"Steel industry, Fuels","Energy, Coal, Coal products",,,,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1967-02-16,"1967-02-28, 1995-01-01",Representatives of the Governments of the Member States,,No end date,,,,True,"OJ 36, 28/02/1967, p. 561–561
		 (DE, FR, IT, NL), This document has been published in a special edition(s) (
           		FI, SV)
		",,
