"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","Publication Reference",
"Council Directive 2009/119/EC of 14 September 2009 imposing an obligation on Member States to maintain minimum stocks of crude oil and/or petroleum products","","32009L0119","2020-01-01","2020-01-01","OJ L 265, 09/10/2009, p. 9–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Commission Regulation (EC) No 641/2009 of 22 July 2009 implementing Directive 2005/32/EC of the European Parliament and of the Council with regard to ecodesign requirements for glandless standalone circulators and glandless circulators integrated in products (Text with EEA relevance)","","32009R0641","2019-11-14","2019-11-14","OJ L 191, 23/07/2009, p. 35–41
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"2009/546/EC: Commission Decision of 8 July 2009 exempting exploration for and exploitation of oil and gas in the Netherlands from the application of Directive 2004/17/EC of the European Parliament and of the Council coordinating the procurement procedures of entities operating in the water, energy, transport and postal services sectors (notified under document number C(2009) 5381) (Text with EEA relevance)","","32009D0546","","","OJ L 181, 14/07/2009, p. 53–56
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 6 June 2009 relating to the plan for the disposal of radioactive waste arising from the dismantling of the José Cabrera Nuclear Power Station, located in Spain, in accordance with Article 37 of the Euratom Treaty","","32009A0707(01)","","","OJ C 154, 07/07/2009, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2009/410/Euratom: Council Decision of 25 May 2009 on the adoption of a supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community","","32009D0410","","","OJ L 132, 29/05/2009, p. 13–15
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Recommendation of 11 February 2009 on the implementation of a nuclear material accountancy and control system by operators of nuclear installations (notified under document number C(2009) 785)","","32009H0120","","","OJ L 41, 12/02/2009, p. 17–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Regulation (EC) No 107/2009 of 4 February 2009 implementing Directive 2005/32/EC of the European Parliament and of the Council with regard to ecodesign requirements for simple set-top boxes (Text with EEA relevance)","","32009R0107","2017-01-09","2017-01-09","OJ L 36, 05/02/2009, p. 8–14
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Agreement for co-operation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the Government of the Republic of Kazakhstan","","22009A0115(01)","","","OJ L 10, 15/01/2009, p. 16–21
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Commission Regulation (EC) No 1275/2008 of 17 December 2008 implementing Directive 2005/32/EC of the European Parliament and of the Council with regard to ecodesign requirements for standby and off mode electric power consumption of electrical and electronic household and office equipment (Text with EEA relevance)","","32008R1275","2021-03-01","2021-03-01","OJ L 339, 18/12/2008, p. 45–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"2008/952/EC: Commission Decision of 19 November 2008 establishing detailed guidelines for the implementation and application of Annex II to Directive 2004/8/EC of the European Parliament and of the Council (notified under document number C(2008) 7294) (Text with EEA relevance)","","32008D0952","","","OJ L 338, 17/12/2008, p. 55–61
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Commission opinion of 7 May 2008 concerning the plan for the disposal of radioactive waste arising from the dismantling of the BR3 Pressurised Water Reactor, located at the SCK-CEN site in Belgium, in accordance with Article 37 of the Euratom Treaty (Text with EEA relevance)","","32008A0509(01)","","","OJ C 114, 09/05/2008, p. 2–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2008/114/EC,Euratom: Council Decision of 12 February 2008 establishing Statutes for the Euratom Supply Agency","","32008D0114","2013-07-01","2013-07-01","OJ L 41, 15/02/2008, p. 15–20
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Convention on the Physical Protection of Nuclear Material and Nuclear Facilities","","22008A0208(01)","","","OJ L 34, 08/02/2008, p. 5–18
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Commission opinion of 20 December 2007 concerning the amended plan for the disposal of radioactive waste from the Penly nuclear power station in France, in accordance with Article 37 of the Euratom Treaty","","32007A1221(01)","","","OJ C 311, 21/12/2007, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Agreement between the European Atomic Energy Community and the Government of Japan for the Joint Implementation of the Broader Approach Activities in the Field of Fusion Energy Research","","22007A0921(01)","","","OJ L 246, 21/09/2007, p. 34–46
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"2007/513/Euratom: Council Decision of 10 July 2007 approving the accession of the European Atomic Energy Community to the amended Convention on the Physical Protection of Nuclear Material and Nuclear Facilities -  Declaration by the European Atomic Energy Community according to Articles 18(4) and 17(3) of the CPPNM","","32007D0513","","","OJ L 190, 21/07/2007, p. 12–14
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		","Agreement on the privileges and immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(05)","","","OJ L 358, 16/12/2006, p. 82–86
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Arrangement on Provisional Application of the Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(04)","","","OJ L 358, 16/12/2006, p. 81–81
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2007/198/Euratom: Council Decision of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it","","32007D0198","2021-01-01","2021-01-01","OJ L 90, 30/03/2007, p. 58–72
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Agreement between the Government of Japan and the European Atomic Energy Community for co-operation in the peaceful uses of nuclear energy","","22007A0206(01)","","","OJ L 32, 06/02/2007, p. 65–75
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 219M , 24/08/2007, p. 100–110
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(03)","","","OJ L 358, 16/12/2006, p. 62–80
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2006/943/Euratom: Commission Decision of 17 November 2006 on Provisional Application of the Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project and of the Agreement on Privileges and Immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project (notified under document number C(2006) 5557","","32006D0943","","","OJ L 358, 16/12/2006, p. 60–61
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 142M , 05/06/2007, p. 835–836
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2006/908/EC,Euratom: Council Decision of 4 December 2006 on the first instalment of the third Community contribution to the European Bank for Reconstruction and Development for the Chernobyl Shelter Fund","","32006D0908","","","OJ L 346, 09/12/2006, p. 28–29
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 335M , 13/12/2008, p. 546–550
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Agreement between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine for Co-operation in the Peaceful Uses of Nuclear Energy","","22006A0922(01)","","","OJ L 261, 22/09/2006, p. 27–31
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2006/626/Euratom: Commission Decision of 15 February 2006 pursuant to Article 83 of the Treaty establishing the European Atomic Energy Community. A summary of the key provisions of the Decision are set out below, without prejudice to the full effect of the Decision itself (notified under document number C(2006) 412)   (Text with EEA relevance)","","32006D0626","","","OJ L 255, 19/09/2006, p. 5–6
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"The Energy Community Treaty","","22006A0720(01)","","","OJ L 198, 20/07/2006, p. 18–37
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		","Commission Recommendation of  15 December 2005  on guidelines for the application of Regulation (Euratom) No 302/2005 on the application of Euratom safeguards  (notified under document number C(2005) 5127)","","32006H0040","","","OJ L 28, 01/02/2006, p. 1–85
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Commission Regulation (Euratom) No 66/2006 of  16 January 2006  exempting the transfer of small quantities of ores, source materials and special fissile materials from the rules of the chapter on supplies","","32006R0066","","","OJ L 11, 17/01/2006, p. 6–8
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 330M , 28/11/2006, p. 12–14
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"Commission Recommendation of  7 December 2005  on the release of security oil stocks following the supply disruption caused by Hurricane Katrina  (notified under document number C(2005) 4655)","","32005H0885","","","OJ L 326, 13/12/2005, p. 37–38
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Agreement for cooperation between the Government of the Republic of Kazakhstan and the European Atomic Energy Community in the field of controlled nuclear fusion","","22005A0607(01)","","","OJ L 143, 07/06/2005, p. 28–33
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2005/336/: Council Decision of 18 April 2005 amending the Council Decision of 16 December 1980 setting up the Consultative Committee for the Fusion Programme","","32005D0336","","","OJ L 108, 29/04/2005, p. 64–65
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 352M , 31/12/2008, p. 129–130
		 (MT), This document has been published in a special edition(s) (
           		BG, RO)
		",
"Commission Regulation (Euratom) No 302/2005 of 8 February 2005 on the application of Euratom safeguards - Council/Commission statement","","32005R0302","2013-07-01","2013-07-01","OJ L 54, 28/02/2005, p. 1–71
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV), OJ L 319M , 29/11/2008, p. 81–151
		 (MT), This document has been published in a special edition(s) (
           		BG, RO, HR)
		",
"2005/42/EC: Commission Decision of 22 December 2004 determining the Community position for a decision of the Management entities under the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficient labelling programmes for office equipment on the revision of Annex C, part II, defining monitor specifications","","32005D0042","","","OJ L 20, 22/01/2005, p. 24–33
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Commission opinion of 22 June 2004 concerning the plan for the disposal of radioactive waste resulting from the modification of authorisations for discharges of liquid radioactive effluent from the Cattenom nuclear power station in France, in accordance with Article 37 of the Euratom Treaty","","32004A1016(01)","","","OJ C 256, 16/10/2004, p. 4–4
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Commission Opinion of 5 February 2004 concerning the plan for the disposal of radioactive waste resulting from modifications to Site-1 of Belgoprocess plc in Belgium, in accordance with Article 37 of the Euratom Treaty","","32004A0207(01)","","","OJ C 34, 07/02/2004, p. 6–6
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 10 December 2003 concerning the plan for the disposal of radioactive waste arising from the decommissioning and complete dismantling of the research reactor TRIGA HD II and the complete dismantling of the decommissioned and safe-state research reactor TRIGA HD I at Heidelberg in Baden-Württemberg in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A1211(01)","","","OJ C 300, 11/12/2003, p. 8–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)","Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community (Euratom) and the Government of the Republic of Uzbekistan","","22003A1021(01)","","","OJ L 269, 21/10/2003, p. 9–17
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO)
		",
"Commission opinion of 20 October 2003 concerning the plan for the disposal of radioactive waste arising from the decommissioning and dismantling of the nuclear power plant KMK and the storage of radioactive wastes in the on-site storage facility at Mülheim-Kärlich in Rhineland-Palatinate in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A1022(02)","","","OJ C 253, 22/10/2003, p. 8–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 20 October 2003 concerning the plan for the disposal of radioactive waste arising from the decommissioning of the Hinkley Point A Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32003A1022(01)","","","OJ C 253, 22/10/2003, p. 7–7
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 20 October 2003 concerning the plan for the disposal of radioactive waste arising from the dismantling of nuclear facilities including research reactors and hot cells at Risø National Laboratories on the island of Zealand in Denmark, in accordance with Article 37 of the Euratom Treaty","","32003A1022(03)","","","OJ C 253, 22/10/2003, p. 9–9
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 1 October 2003 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Philippsburg Nuclear Power Station KKP in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A1004(01)","","","OJ C 238, 04/10/2003, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 29 July 2003 concerning the plan for the disposal of radioactive waste arising from the operation of the radioactive waste conditioning and storage facility (CEDRA) at the Cadarache site in France, in accordance with Article 37 of the Euratom Treaty","","32003A0801(01)","","","OJ C 182, 01/08/2003, p. 24–24
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Protocol on Claims, Legal Proceedings and Indemnification to the Framework Agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation","","22003A0624(02)","","","OJ L 343, 08/12/2006, p. 92–95
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Framework agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation","","22003A0624(01)","","","OJ L 155, 24/06/2003, p. 37–42
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"2003/269/EC: Council Decision of 8 April 2003 concerning the conclusion on behalf of the Community of the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficient labelling programmes for office equipment","","32003D0269","","","OJ L 99, 17/04/2003, p. 47–48
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, HR)
		",
"Commission opinion of 29 January 2003 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Gundremmingen II Nuclear Power Station KRB II in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A0204(07)","","","OJ C 26, 04/02/2003, p. 13–13
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)","2003/29/ECSC: Commission Decision of 17 July 2002 authorising the United Kingdom to grant aid to eight coal production units for 2001 and for the period from 1 January 2002 to 23 July 2002 (notified under document number C(2002) 2609) (Text with EEA relevance)","","32003D0029","","","OJ L 17, 22/01/2003, p. 40–43
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 27 November 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Biblis Nuclear Power Station in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A1129(01)","","","OJ C 297, 29/11/2002, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of nuclear safety","","22002A1127(01)","","","OJ L 322, 27/11/2002, p. 33–39
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of controlled nuclear fusion","","22002A1127(02)","","","OJ L 322, 27/11/2002, p. 40–46
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"Commission Opinion of 26 November 2002 concerning the plan for the disposal of radioactive waste arising from the operation of the MOX Demonstration Facility at Sellafield located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A1127(01)","","","OJ C 292, 27/11/2002, p. 7–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"2002/871/EC: Commission Decision of 17 October 2002 establishing a joint framework for the communication of information needed for the application of Council Regulation (EC) No 1407/2002 on State aid to the coal industry (notified under document number C(2002) 3783)","","32002D0871","","","OJ L 300, 05/11/2002, p. 42–57
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",
"2002/826/ECSC: Commission decision of 2 July 2002 on financial measures by Spain in respect of the coal industry in 2001 and in the period 1 January 2002 to 23 July 2002 (Text with EEA relevance.) (notified under document number C(2002) 2438)","","32002D0826","","","OJ L 296, 30/10/2002, p. 73–79
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"2002/827/ECSC: Commission decision of 2 July 2002 on the granting by Spain of aid to the undertaking González y Díez SA in 1998, 2000 and 2001 (Text with EEA relevance.) (notified under document number C(2002) 2441)","","32002D0827","2004-04-23","2004-04-23","OJ L 296, 30/10/2002, p. 80–85
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"2002/786/ECSC: Commission decision of 5 May 2002 authorising the United Kingdom to grant aid to six coal production units for 2001 and for the period from 1 January 2002 to 23 July 2002 (Text with EEA relevance.) (notified under document number C(2002) 2016)","","32002D0786","","","OJ L 282, 19/10/2002, p. 66–69
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"2002/787/ECSC: Commission decision of 23 July 2002 concerning State aid to the French coal industry for 1998 to 2001 (Text with EEA relevance.) (notified under document number C(2002) 2792)","","32002D0787","","","OJ L 282, 19/10/2002, p. 70–76
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)","Commission opinion of 10 October 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the Hunterston A power station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A1016(01)","","","OJ C 249, 16/10/2002, p. 21–21
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 30 August 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the UKAEA Dounreay Fast Reactor located in the United Kingdom in accordance with Article 37 of the Euratom Treaty","","32002A0903(02)","","","OJ C 208, 03/09/2002, p. 2–3
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 30 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Neckarwestheim Nuclear Power Station GKN in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty","","32002A0903(03)","","","OJ C 208, 03/09/2002, p. 3–3
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 30 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Isar Nuclear Power Station KKI in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty","","32002A0903(01)","","","OJ C 208, 03/09/2002, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 13 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Brunsbüttel Nuclear Power Station KKB in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0822(02)","","","OJ C 199, 22/08/2002, p. 3–3
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 13 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Krümmel Nuclear Power Station KKK in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0822(01)","","","OJ C 199, 22/08/2002, p. 2–2
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Decision of 24 April 2002 authorising the United Kingdom to grant aid to four coal production units for 2001 (Text with EEA relevance) (notified under document number C(2002) 1447)","","32002D0582","","","OJ L 184, 13/07/2002, p. 37–39
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Decision of 22 May 2002 on the granting by Spain of aid to the undertaking Hunosa in 1998, 1999, 2000 and 2001 (Text with EEA relevance) (notified under document number C(2002) 1895)","","32002D0583","","","OJ L 184, 13/07/2002, p. 40–43
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Decision of 9 April 2002 concerning the use of State aid to the French coal industry for 1994 to 1997 (Text with EEA relevance) (notified under document number C(2002) 1329)","","32002D0541","","","OJ L 176, 05/07/2002, p. 26–42
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 21 June 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Grafenrheinfeld Nuclear Power Station KKG in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0625(01)","","","OJ C 151, 25/06/2002, p. 12–12
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)","Council Resolution on the establishment of national systems for surveillance and control of the presence of radioactive materials in the recycling of metallic materials in the Member States","","32002G0522(01)","","","OJ C 119, 22/05/2002, p. 7–9
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 24 April 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Brokdorf Nuclear Power Station KBR in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0501(01)","","","OJ C 105, 01/05/2002, p. 5–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 22 April 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Unterweser Nuclear Power Station KKU in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0424(03)","","","OJ C 99, 24/04/2002, p. 6–6
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 22 April 2002 concerning the plan for the disposal of radioactive waste from the Socatri decontamination and uranium recovery plant (IARU) at the Tricastin site in France, pursuant to Article 37 of the Euratom Treaty","","32002A0424(01)","","","OJ C 99, 24/04/2002, p. 5–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Opinion of 22 April 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Grohnde Nuclear Power Station KWG in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0424(02)","","","OJ C 99, 24/04/2002, p. 5–6
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 4 April 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the Trawsfynydd Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A0410(01)","","","OJ C 86, 10/04/2002, p. 10–10
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission opinion of 4 April 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the Berkeley Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A0410(02)","","","OJ C 86, 10/04/2002, p. 11–11
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Decision of 11 December 2001 on the granting by Spain of aid to the coal industry in 2001 (Text with EEA relevance) (notified under document number C(2001) 3975)","","32002D0241","","","OJ L 82, 26/03/2002, p. 11–17
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Decision of 2 October 2001 on German aid to the coal industry for the period from 1 January 2002 to 23 July 2002 (Text with EEA relevance) (notified under document number C(2001) 3005)","","32002D0171","","","OJ L 56, 27/02/2002, p. 27–31
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"Commission Decision of 17 October 2001 authorising the United Kingdom to grant aid to two coal production units for 2000 and 2001 (Text with EEA relevance) (notified under document number C(2001) 3081)","","32002D0082","","","OJ L 35, 06/02/2002, p. 19–21
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)","Commission opinion of 30 January 2002 concerning the plan for the disposal of radioactive waste from the Sizewell A Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A0205(01)","","","OJ C 32, 05/02/2002, p. 20–20
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
